,delta_sigma_eta,betas,varnames,specification,IV_varnames
196,13.985460211651205,,,,
197,12.322286884342407,,,,
198,13.128173760235994,,,,
199,13.062203672608147,,,,
200,14.74010283677483,,,,
201,10.327411517773061,,,,
202,10.778685652146994,,,,
203,10.11547538733625,,,,
204,4.173365626647365,,,,
205,4.120204354283921,,,,
206,2.2775012957451786,,,,
207,4.9108116323696205,,,,
208,9.087432536158907,,,,
209,5.541483378434612,,,,
210,6.528290981386635,,,,
211,7.534780643829196,,,,
212,5.217092732395237,,,,
213,11.346037380087376,,,,
214,13.602976785556317,,,,
215,11.557540099128147,,,,
216,13.841760732215397,,,,
217,13.629051449910838,,,,
218,13.55107041595895,,,,
219,14.204181129939087,,,,
220,11.258305565794515,,,,
221,12.328869552350243,,,,
222,7.660616435231543,,,,
223,7.112736971035559,,,,
224,8.18811984134149,,,,
225,10.11768347881094,,,,
226,9.149057567137506,,,,
227,7.124021493118198,,,,
228,9.139252723046052,,,,
229,8.676219160576395,,,,
230,10.536391211704643,,,,
231,6.859087372771859,,,,
232,4.201441877637783,,,,
233,4.066329972748052,,,,
234,11.268481117774767,,,,
235,10.054613441265937,,,,
236,12.432605845465467,,,,
237,12.397500795774455,,,,
238,13.323298936423104,,,,
239,15.496641928185797,,,,
240,10.644380422997859,,,,
241,11.579734439274537,,,,
242,9.396099485072142,,,,
243,9.340165337766718,,,,
244,12.57839308098692,,,,
245,10.373582332934332,,,,
246,13.892310199957894,,,,
247,19.265594196665745,,,,
248,14.580921821198642,,,,
249,7.282965883493084,,,,
250,2.5224013212099528,,,,
251,2.405038627926184,,,,
252,11.34436539954092,,,,
253,10.019883513916541,,,,
254,10.755053826417859,,,,
255,10.831615097717147,,,,
256,9.02907283018231,,,,
257,8.424100673028306,,,,
258,9.723393852401609,,,,
259,10.770716099012452,,,,
260,9.742065921081776,,,,
261,8.935148975585617,,,,
262,9.893589090699159,,,,
263,8.402111161320958,,,,
264,7.445369397555235,,,,
265,5.116296218953461,,,,
266,5.35808311044268,,,,
267,16.61494530021978,,,,
268,15.034618158265104,,,,
269,14.121324001711107,,,,
270,9.050184607002643,,,,
271,11.402998862591547,,,,
272,11.24820275901625,,,,
273,8.671001133534997,,,,
274,9.292828627812213,,,,
275,8.069550769183005,,,,
276,3.7549646748796506,,,,
277,3.174455930560497,,,,
278,4.565616231812429,,,,
279,8.55993637799274,,,,
280,9.060517940413606,,,,
281,8.514910005369728,,,,
282,4.604271599631663,,,,
283,6.059591638381035,,,,
284,6.072946782096116,,,,
285,10.713277045766379,,,,
286,11.31885613886869,,,,
287,14.067966819162999,,,,
288,10.049355948890918,,,,
289,8.796287608049553,,,,
290,8.941240683351463,,,,
291,6.4617196360267375,,,,
292,9.921884958941442,,,,
293,9.549813477833041,,,,
294,8.467254998858657,,,,
295,9.734841090409908,,,,
296,7.23569345023523,,,,
297,14.897820787909442,,,,
298,16.553487477058862,,,,
299,15.638799347544536,,,,
300,3.255980639744497,,,,
301,2.2311006349346536e-12,,,,
302,1.1297594370740035e-12,,,,
303,3.549509485799593e-15,,,,
304,5.27828255677846e-12,,,,
305,3.246665657294184e-10,,,,
